COUNTY_ID,COUNTY,TOWN_ID,TOWN,A15A19_E1314_CNT,A15A19_E1112_CNT,A15A19_E2122_CNT,A15A19_E3_4_5_CNT,A15A19_E6_7_CNT,A15A19_E8_9_CNT,A15A19_E1_2_CNT,A15A19_E03_CNT,A15A19_E04_CNT,A20A24_E1314_CNT,A20A24_E1112_CNT,A20A24_E2122_CNT,A20A24_E3_4_5_CNT,A20A24_E6_7_CNT,A20A24_E8_9_CNT,A20A24_E1_2_CNT,A20A24_E03_CNT,A20A24_E04_CNT,A25A29_E1314_CNT,A25A29_E1112_CNT,A25A29_E2122_CNT,A25A29_E3_4_5_CNT,A25A29_E6_7_CNT,A25A29_E8_9_CNT,A25A29_E1_2_CNT,A25A29_E03_CNT,A25A29_E04_CNT,A30A34_E1314_CNT,A30A34_E1112_CNT,A30A34_E2122_CNT,A30A34_E3_4_5_CNT,A30A34_E6_7_CNT,A30A34_E8_9_CNT,A30A34_E1_2_CNT,A30A34_E03_CNT,A30A34_E04_CNT,A35A39_E1314_CNT,A35A39_E1112_CNT,A35A39_E2122_CNT,A35A39_E3_4_5_CNT,A35A39_E6_7_CNT,A35A39_E8_9_CNT,A35A39_E1_2_CNT,A35A39_E03_CNT,A35A39_E04_CNT,A40A44_E1314_CNT,A40A44_E1112_CNT,A40A44_E2122_CNT,A40A44_E3_4_5_CNT,A40A44_E6_7_CNT,A40A44_E8_9_CNT,A40A44_E1_2_CNT,A40A44_E03_CNT,A40A44_E04_CNT,A45A49_E1314_CNT,A45A49_E1112_CNT,A45A49_E2122_CNT,A45A49_E3_4_5_CNT,A45A49_E6_7_CNT,A45A49_E8_9_CNT,A45A49_E1_2_CNT,A45A49_E03_CNT,A45A49_E04_CNT,A50A54_E1314_CNT,A50A54_E1112_CNT,A50A54_E2122_CNT,A50A54_E3_4_5_CNT,A50A54_E6_7_CNT,A50A54_E8_9_CNT,A50A54_E1_2_CNT,A50A54_E03_CNT,A50A54_E04_CNT,A55A59_E1314_CNT,A55A59_E1112_CNT,A55A59_E2122_CNT,A55A59_E3_4_5_CNT,A55A59_E6_7_CNT,A55A59_E8_9_CNT,A55A59_E1_2_CNT,A55A59_E03_CNT,A55A59_E04_CNT,A60A64_E1314_CNT,A60A64_E1112_CNT,A60A64_E2122_CNT,A60A64_E3_4_5_CNT,A60A64_E6_7_CNT,A60A64_E8_9_CNT,A60A64_E1_2_CNT,A60A64_E03_CNT,A60A64_E04_CNT,A65UP_E1314_CNT,A65UP_E1112_CNT,A65UP_E2122_CNT,A65UP_E3_4_5_CNT,A65UP_E6_7_CNT,A65UP_E8_9_CNT,A65UP_E1_2_CNT,A65UP_E03_CNT,A65UP_E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,15-19歲博士人口數,15-19歲碩士人口數,15-19歲大學院校人口數,15-19歲專科人口數,15-19歲高中職人口數,15-19歲國中初職人口數,15-19歲小學人口數,15-19歲自修人口數,15-19歲不識字人口數,20-24歲博士人口數,20-24歲碩士人口數,20-24歲大學院校人口數,20-24歲專科人口數,20-24歲高中職人口數,20-24歲國中初職人口數,20-24歲小學人口數,20-24歲自修人口數,20-24歲不識字人口數,25-29歲博士人口數,25-29歲碩士人口數,25-29歲大學院校人口數,25-29歲專科人口數,25-29歲高中職人口數,25-29歲國中初職人口數,25-29歲小學人口數,25-29歲自修人口數,25-29歲不識字人口數,30-34歲博士人口數,30-34歲碩士人口數,30-34歲大學院校人口數,30-34歲專科人口數,30-34歲高中職人口數,30-34歲國中初職人口數,30-34歲小學人口數,30-34歲自修人口數,30-34歲不識字人口數,35-39歲博士人口數,35-39歲碩士人口數,35-39歲大學院校人口數,35-39歲專科人口數,35-39歲高中職人口數,35-39歲國中初職人口數,35-39歲小學人口數,35-39歲自修人口數,35-39歲不識字人口數,40-44歲博士人口數,40-44歲碩士人口數,40-44歲大學院校人口數,40-44歲專科人口數,40-44歲高中職人口數,40-44歲國中初職人口數,40-44歲小學人口數,40-44歲自修人口數,40-44歲不識字人口數,45-49歲博士人口數,45-49歲碩士人口數,45-49歲大學院校人口數,45-49歲專科人口數,45-49歲高中職人口數,45-49歲國中初職人口數,45-49歲小學人口數,45-49歲自修人口數,45-49歲不識字人口數,50-54歲博士人口數,50-54歲碩士人口數,50-54歲大學院校人口數,50-54歲專科人口數,50-54歲高中職人口數,50-54歲國中初職人口數,50-54歲小學人口數,50-54歲自修人口數,50-54歲不識字人口數,55-59歲博士人口數,55-59歲碩士人口數,55-59歲大學院校人口數,55-59歲專科人口數,55-59歲高中職人口數,55-59歲國中初職人口數,55-59歲小學人口數,55-59歲自修人口數,55-59歲不識字人口數,60-64歲博士人口數,60-64歲碩士人口數,60-64歲大學院校人口數,60-64歲專科人口數,60-64歲高中職人口數,60-64歲國中初職人口數,60-64歲小學人口數,60-64歲自修人口數,60-64歲不識字人口數,65歲以上博士人口數,65歲以上碩士人口數,65歲以上大學院校人口數,65歲以上專科人口數,65歲以上高中職人口數,65歲以上國中初職人口數,65歲以上小學人口數,65歲以上自修人口數,65歲以上不識字人口數,資料時間
"65000","新北市","65000010","板橋區",0,0,5971,1745,14698,1191,250,0,3,7,1585,21727,1879,4558,350,46,0,0,86,4236,22731,1569,4841,464,15,0,0,226,5520,22144,2194,6386,877,60,0,1,444,6475,20583,6093,9570,1808,202,1,4,541,6668,17341,11193,13396,3115,348,3,13,475,5202,11429,10623,13575,3695,324,3,24,416,3552,7139,7994,14906,4978,452,11,30,265,1969,5010,6203,15575,9097,1031,14,31,181,1054,3908,4549,14591,12383,3180,24,78,188,1053,7044,6571,20472,16692,38250,843,2387,"110Y"
"65000","新北市","65000020","三重區",0,0,3995,794,10091,1451,1,0,0,6,1098,15558,1088,3888,385,4,0,0,71,2766,17029,1085,4089,503,6,0,0,125,3300,15914,1638,5325,888,31,0,0,224,3490,13230,4260,7413,1764,196,0,0,252,3236,10169,7338,10404,2892,308,0,0,208,2368,6284,6979,10775,3663,208,0,2,156,1749,4075,5595,11884,5190,201,0,0,128,1023,2963,3961,11960,9536,286,3,6,90,426,2049,2683,10215,13520,625,13,39,65,395,2930,3015,11804,12375,31570,546,2027,"110Y"
"65000","新北市","65000030","中和區",0,0,4296,1048,10069,711,216,0,0,9,1255,16223,1278,3102,236,26,0,0,70,3434,17138,1078,3555,311,16,0,1,155,4003,16129,1788,4441,571,38,0,2,315,4550,14592,4138,6456,1090,154,0,1,401,4380,12328,7971,9431,2046,249,2,5,326,3630,8628,7943,10266,2510,261,2,9,324,2919,6083,6913,11995,3358,280,8,14,265,1768,5075,5740,12696,6003,528,10,16,178,970,4094,4423,12170,8638,1271,11,47,202,1006,7657,6577,19074,13162,25601,440,1616,"110Y"
"65000","新北市","65000040","永和區",0,0,2425,428,5500,536,198,0,1,6,792,8641,567,1294,82,32,0,0,50,2111,8729,454,1289,96,4,0,0,110,2443,7827,696,1460,119,6,0,0,233,2719,7408,1629,2163,266,41,0,2,304,2786,6780,3424,3612,512,83,2,1,257,2697,5363,3963,4211,627,76,0,3,256,2210,4132,3703,5370,880,76,1,5,277,1572,3865,3652,6197,1502,122,0,7,198,1001,3430,3009,6353,2385,344,3,6,243,1284,7714,5068,12011,6733,10194,254,618,"110Y"
"65000","新北市","65000050","新莊區",0,0,4833,1158,12449,1029,142,0,0,9,1306,18376,1390,4087,315,28,0,0,53,3308,19970,1266,4478,478,18,0,0,163,4116,18688,1830,5553,791,31,0,0,266,4200,15643,4941,8241,1607,212,0,0,308,3892,12137,9101,11953,2793,310,0,0,254,2969,7064,8175,11947,3119,242,0,0,204,1888,4236,5855,13140,4491,219,0,0,152,1104,3176,4341,13283,8480,465,3,3,96,523,2178,2752,10877,12093,880,17,37,98,447,2932,2984,12100,12195,25262,317,1436,"110Y"
"65000","新北市","65000060","新店區",0,0,3078,596,6980,720,338,0,1,5,906,12460,937,2418,185,26,0,0,74,2614,13523,865,2674,243,8,2,0,125,3030,11787,1099,3029,369,30,1,0,272,3349,9828,2426,3933,666,89,2,1,372,3084,7911,4396,5503,1165,133,6,0,383,3264,6396,5045,6661,1534,129,10,0,448,3055,5634,5285,8797,2316,158,12,0,446,2283,5119,5218,9828,3632,209,16,0,351,1465,4663,4141,8944,4870,422,20,19,529,2053,10979,6836,14871,8260,14874,342,945,"110Y"
"65000","新北市","65000070","樹林區",0,0,2110,560,5761,578,115,0,0,2,544,8030,630,2247,191,34,0,0,26,1366,8533,566,2350,262,34,1,0,72,1396,7512,786,2811,481,61,1,0,116,1422,5957,1907,4065,902,163,0,2,117,1446,4400,3604,5654,1411,203,2,2,135,1120,2691,3221,5376,1532,183,5,6,77,750,1633,2300,5978,2225,226,6,7,63,408,1156,1799,5896,3950,608,2,9,41,264,906,1160,4700,4700,1261,12,30,55,291,1529,1473,5369,4794,11105,205,595,"110Y"
"65000","新北市","65000080","鶯歌區",0,0,1042,228,2727,330,14,0,1,1,241,3889,356,1292,70,5,0,0,6,620,4134,278,1256,141,3,0,0,21,728,3635,332,1563,258,17,0,0,48,658,2854,858,2372,533,77,0,0,38,574,1932,1524,2935,894,97,1,1,43,415,1027,1285,2839,1018,84,1,5,38,296,741,933,2853,1489,124,3,4,27,164,482,757,2634,2343,308,3,8,15,76,346,574,2042,2633,682,5,15,12,63,503,534,2084,2249,5947,100,490,"110Y"
"65000","新北市","65000090","三峽區",0,0,1352,401,3641,213,116,0,0,1,327,5151,480,1682,149,10,0,0,15,825,5283,385,1757,244,6,1,0,36,847,4235,489,1908,340,17,0,0,71,900,3258,1013,2315,703,90,0,0,121,981,2488,1781,3140,1170,116,1,2,117,774,1691,1860,3377,1423,94,1,2,81,519,1105,1450,3890,2030,138,2,3,68,359,868,1171,3647,3004,282,3,14,45,192,665,806,2667,2949,510,8,16,49,231,1279,998,2999,2703,6788,111,616,"110Y"
